createdAt,mode,objectId,percent,time,updatedAt
2015-09-25T12:05:52.931Z,Unplugged,nI3zwSKKWn,0.96,19.5,2015-09-25T12:05:52.931Z
2015-09-25T00:21:37.301Z,Unplugged,nJzeugn49M,0.59,42,2015-09-25T00:21:37.301Z
2015-09-25T03:25:31.307Z,Unplugged,nNcOuXeAJZ,0.16,86.5,2015-09-25T03:25:31.307Z
2015-09-25T12:14:37.859Z,Unplugged,nQVdO1ryYI,0.94,28.5,2015-09-25T12:14:37.859Z
2015-09-25T09:53:54.201Z,Charging,nY4KA4xwOU,0.53,86.5,2015-09-25T09:53:54.201Z
2015-09-25T09:28:52.960Z,Charging,ngD3TBKPI8,0.22,61.5,2015-09-25T09:28:52.960Z
2015-09-25T09:39:23.552Z,Charging,nhSstCp3jU,0.35,72,2015-09-25T09:39:23.552Z
2015-09-25T00:07:36.283Z,Unplugged,nudjVmlw15,0.76,28,2015-09-25T00:07:36.283Z
2015-09-25T00:03:36.555Z,Unplugged,nyR5nD4SzF,0.8,24,2015-09-25T00:03:36.555Z
2015-09-24T23:47:37.448Z,Unplugged,o0XQssIoRd,0.95,8,2015-09-24T23:47:37.448Z
2015-09-25T06:45:55.836Z,Charging,o2NGzP5cIC,0.28,16,2015-09-25T06:45:55.836Z
2015-09-24T23:42:37.416Z,Unplugged,oH8Ysr4BeU,0.97,3,2015-09-24T23:42:37.416Z
2015-09-25T03:37:01.154Z,Unplugged,oHac3rOAey,0.14,98,2015-09-25T03:37:01.154Z
2015-09-25T00:56:36.509Z,Unplugged,oHtaoTXX0P,0.25,77,2015-09-25T00:56:36.509Z
2015-09-25T12:14:07.920Z,Unplugged,oKLObmxpU9,0.94,28,2015-09-25T12:14:07.920Z
2015-09-25T09:26:53.590Z,Charging,oTBspBCmWa,0.2,59.5,2015-09-25T09:26:53.590Z
2015-09-25T03:26:31.159Z,Unplugged,oUyQP5dssl,0.15,87.5,2015-09-25T03:26:31.159Z
2015-09-25T08:49:30.395Z,Unplugged,oiaWpohXou,0.27,35,2015-09-25T08:49:30.395Z
2015-09-25T11:19:40.394Z,Charging,p0JB4bJ3Tk,0.98,9.5,2015-09-25T11:19:40.394Z
2015-09-25T07:09:05.242Z,Unplugged,pSqOVzERgZ,0.36,25.5,2015-09-25T07:09:05.242Z
2015-09-25T09:47:53.348Z,Charging,pZJPMpfqfq,0.45,80.5,2015-09-25T09:47:53.348Z
2015-09-24T23:40:37.423Z,Unplugged,pfEitlPv9a,0.98,1,2015-09-24T23:40:37.423Z
2015-09-25T00:51:37.983Z,Unplugged,pieJuZGvgw,0.26,72,2015-09-25T00:51:37.983Z
2015-09-25T09:43:53.813Z,Charging,pnGbSefukb,0.4,76.5,2015-09-25T09:43:53.813Z
2015-09-25T00:32:06.571Z,Unplugged,pymMA6m5kv,0.48,52.5,2015-09-25T00:32:06.571Z
2015-09-25T00:51:07.393Z,Unplugged,pzKf2j6Q09,0.27,71.5,2015-09-25T00:51:07.393Z
2015-09-25T11:08:36.507Z,Start App,q2a6bk51PS,0,0,2015-09-25T11:08:36.507Z
2015-09-25T07:10:05.257Z,Unplugged,qHNt2I1iG8,0.36,26.5,2015-09-25T07:10:05.257Z
2015-09-24T23:52:07.116Z,Unplugged,qJsYbI1SGy,0.92,12.5,2015-09-24T23:52:07.116Z
2015-09-25T09:01:01.085Z,Unplugged,qXQjzuLiU9,0.24,46.5,2015-09-25T09:01:01.085Z
2015-09-25T07:01:56.380Z,Charging,qoYXU0xj1t,0.29,17.5,2015-09-25T07:01:56.380Z
2015-09-25T00:10:36.634Z,Unplugged,qvZjXgIw53,0.72,31,2015-09-25T00:10:36.634Z
2015-09-25T00:25:07.050Z,Unplugged,qxBnxQ8fXv,0.55,45.5,2015-09-25T00:25:07.050Z
2015-09-24T23:57:07.107Z,Unplugged,rBBMI8oWXW,0.87,17.5,2015-09-24T23:57:07.107Z
2015-09-25T01:00:06.766Z,Unplugged,rVN34U5cUV,0.24,80.5,2015-09-25T01:00:06.766Z
2015-09-25T00:44:06.722Z,Unplugged,riizcbAQss,0.34,64.5,2015-09-25T00:44:06.722Z
2015-09-25T12:10:37.875Z,Unplugged,rqVRYRVjmX,0.95,24.5,2015-09-25T12:10:37.875Z
2015-09-25T07:15:04.954Z,Unplugged,rrMPIbp4Al,0.34,31.5,2015-09-25T07:15:04.954Z
2015-09-25T07:15:34.375Z,Unplugged,ruwnCj6rZs,0.33,32,2015-09-25T07:15:34.375Z
2015-09-25T01:03:36.502Z,Unplugged,rvVPH62hiO,0.23,84,2015-09-25T01:03:36.502Z
2015-09-25T06:46:25.838Z,Charging,s7nGpD65pO,0.28,16.5,2015-09-25T06:46:25.838Z
2015-09-25T09:02:33.152Z,Unplugged,sAEK8uUiUg,0.23,48,2015-09-25T09:02:33.152Z
2015-09-25T01:04:36.499Z,Unplugged,sF6HgGzYOg,0.23,85,2015-09-25T01:04:36.499Z
2015-09-25T00:35:36.628Z,Unplugged,sSLtYdx2MC,0.43,56,2015-09-25T00:35:36.628Z
2015-09-25T06:43:26.326Z,Charging,sUBZ6IbbQz,0.26,13.5,2015-09-25T06:43:26.326Z
2015-09-25T00:16:36.897Z,Unplugged,sUO1Ktkmjn,0.65,37,2015-09-25T00:16:36.897Z
2015-09-25T07:02:04.245Z,Unplugged,sUcOcW2pNS,0.39,18.5,2015-09-25T07:02:04.245Z
2015-09-25T09:02:00.999Z,Unplugged,siGjpgh5o7,0.24,47.5,2015-09-25T09:02:00.999Z
2015-09-25T11:22:56.049Z,Charging,suNBIJN7rh,0.98,13,2015-09-25T11:22:56.049Z
2015-09-25T00:19:06.799Z,Unplugged,svTPiGXl8D,0.63,39.5,2015-09-25T00:19:06.799Z
2015-09-25T09:32:23.887Z,Charging,tE0CWJxo4c,0.27,65,2015-09-25T09:32:23.887Z
2015-09-25T03:26:00.013Z,Unplugged,tP6PKjh6KU,0.15,87,2015-09-25T03:26:00.013Z
2015-09-25T03:29:01.130Z,Unplugged,teOw1SXnIi,0.14,90,2015-09-25T03:29:01.130Z
2015-09-24T23:42:07.431Z,Unplugged,tepKd1H2yW,0.97,2.5,2015-09-24T23:42:07.431Z
2015-09-25T00:49:07.970Z,Unplugged,tmcxwyLSEb,0.29,69.5,2015-09-25T00:49:07.970Z
2015-09-24T23:45:37.370Z,Unplugged,uEiPQJbo49,0.96,6,2015-09-24T23:45:37.370Z
2015-09-25T12:05:56.203Z,Charging,uKR0geoRe0,0.99,19,2015-09-25T12:05:56.203Z
2015-09-25T12:12:37.918Z,Unplugged,ufnhVqKDe6,0.94,26.5,2015-09-25T12:12:37.918Z
2015-09-25T09:05:01.041Z,Unplugged,utvvKHZ6nU,0.23,50.5,2015-09-25T09:05:01.041Z
2015-09-25T00:20:07.129Z,Unplugged,v9ZSy7KHOm,0.62,40.5,2015-09-25T00:20:07.129Z
2015-09-25T06:36:25.845Z,Charging,vIgZUv8xm8,0.19,6.5,2015-09-25T06:36:25.845Z
